-2.537889139120350604e-09	1.903865797422047230e-09	1.905537667934449546e-09
-2.518124835038046707e-09	1.905222674301369653e-09	1.911477724598535540e-09
-2.498211530236706202e-09	1.906456182735704654e-09	1.917549369405883053e-09
-2.478149505972627849e-09	1.907565103098647474e-09	1.923757103038573419e-09
-2.457938765021436874e-09	1.908548132034677503e-09	1.930105638971638395e-09
-2.437579481780665431e-09	1.909404214138032206e-09	1.936599896418262950e-09
-2.417071688169226885e-09	1.910131923234717673e-09	1.943244875661042529e-09
-2.396415522502405175e-09	1.910730146557448127e-09	1.950046193503296100e-09
-2.375610942221651904e-09	1.911197506041894498e-09	1.957009297439330304e-09
-2.354658124037402100e-09	1.911532704114845471e-09	1.964140265014967879e-09
-2.333557014289064314e-09	1.911734418454572482e-09	1.971445305846519189e-09
-2.312307525083794520e-09	1.911801298752168635e-09	1.978930961923000998e-09
-2.290909840533639869e-09	1.911731902874235659e-09	1.986603967903592059e-09
-2.269363751546597856e-09	1.911524809735301951e-09	1.994471635532094666e-09
-2.247669337688652136e-09	1.911178707421826358e-09	2.002541522420453043e-09
-2.225826402820400972e-09	1.910692023580450918e-09	2.010821456103584109e-09
-2.203834916410652624e-09	1.910063317696749729e-09	2.019319790084507777e-09
-2.181694767437281233e-09	1.909291020655667323e-09	2.028045248634690813e-09
-2.159405873558569560e-09	1.908373645220791154e-09	2.037006962181867829e-09
-2.136967974797351182e-09	1.907309650032539626e-09	2.046214512182091020e-09
-2.114380998989129251e-09	1.906097412777518337e-09	2.055678086550686676e-09
-2.091644669503334235e-09	1.904735252393029703e-09	2.065408218528600928e-09
-2.068758784649449195e-09	1.903221688119116037e-09	2.075416046890921144e-09
-2.045723151988816832e-09	1.901554920469290489e-09	2.085713280095924370e-09
-2.022537496741185033e-09	1.899733265142656376e-09	2.096312313089735403e-09
-1.999201522847241728e-09	1.897755145622669774e-09	2.107225989302544980e-09
-1.975714830626536171e-09	1.895618619944072013e-09	2.118467947130153727e-09
-1.952077259096784470e-09	1.893322150910617593e-09	2.130052565348565072e-09
-1.928288294779837320e-09	1.890863764175694195e-09	2.141994983236498642e-09
-1.904347605533973134e-09	1.888241803656623698e-09	2.154310979376099023e-09
-1.880254789828531283e-09	1.885454369946847613e-09	2.167017326230414001e-09
-1.856009416526854502e-09	1.882499694090963713e-09	2.180131752904606813e-09
-1.831610994355402791e-09	1.879375836436979745e-09	2.193672789483725307e-09
-1.807059010761064788e-09	1.876081088166473206e-09	2.207660086683834985e-09
-1.782352982796874245e-09	1.872613435149889995e-09	2.222114407294629180e-09
-1.757492336847601842e-09	1.868971094091497635e-09	2.237057454557164374e-09
-1.732476497447646041e-09	1.865152203979950353e-09	2.252512556570152603e-09
-1.707304854899529717e-09	1.861154844592008572e-09	2.268503931923690101e-09
-1.681976775450942704e-09	1.856977235870089697e-09	2.285057483971313466e-09
-1.656491639227318596e-09	1.852617461291648126e-09	2.302200456198206098e-09
-1.630848592282247076e-09	1.848073790296692043e-09	2.319961737532839335e-09
-1.605047095232242888e-09	1.843344399343755767e-09	2.338371943300118551e-09
-1.579086297831550194e-09	1.838427522253093520e-09	2.357463425399043198e-09
-1.552965473809273787e-09	1.833321487213867154e-09	2.377270586402995535e-09
-1.526683702605489358e-09	1.828024653871558157e-09	2.397829793980111738e-09
-1.500240303283408318e-09	1.822535436457612830e-09	2.419179761144667918e-09
-1.473634321976375833e-09	1.816852427764298987e-09	2.441361547644792643e-09
-1.446864887159435900e-09	1.810974194678874193e-09	2.464418676073618445e-09
-1.419931197621520779e-09	1.804899560364787422e-09	2.488397711034974734e-09
-1.392832243059717395e-09	1.798627396095345225e-09	2.513347801177040305e-09
-1.365567125118562055e-09	1.792156681390550621e-09	2.539321624269369125e-09
-1.338134986150767657e-09	1.785486808403297876e-09	2.566375075877915389e-09
-1.310534898194923296e-09	1.778617249777650086e-09	2.594567919770686824e-09
-1.282765824117686579e-09	1.771547637289637651e-09	2.623963738420304044e-09
-1.254827053376288205e-09	1.764278214263092959e-09	2.654630564905866740e-09
-1.226717645982001354e-09	1.756809190715345965e-09	2.686641021228592063e-09
-1.198436775743757644e-09	1.749141436320958120e-09	2.720072822999992017e-09
-1.169983636824712338e-09	1.741276233387570098e-09	2.755009021378679877e-09
-1.141357693542255724e-09	1.733215193588938997e-09	2.791538757559081743e-09
-1.112558202972147185e-09	1.724960770517949402e-09	2.829757431617925041e-09
